Repository,Score
Ed-Fi-Data-Standard,6.7
Ed-Fi-ODS,7.6
Ed-Fi-ODS-Implementation,8.1
Ed-Fi-Analytics-Middle-Tier,6.9
Ed-Fi-Databases,7.9
Ed-Fi-MigrationUtility,7.0
Ed-Fi-ODS-AdminApp,8.6
Ed-Fi-Extensions,7.5
Ed-Fi-ODS-Docker,6.8
Ed-Fi-API-Publisher,7.8
EdFi.Installer.AppCommon,
Starter-Kit-SEA-Modernization,
Roster-Starter-Kit-for-Vendors,
Ed-Fi-Starter-Kit-Equity,
Ed-Fi-Starter-Kit-Assessments,
Engage-Online-Learners-Starter-Kit,
Ed-Fi-TPDM-Artifacts,
Ed-Fi-Actions,
Actions-Demonstrations,
DevSecOps,
.github,
slsa-github-generator,6.6
Ed-Fi-DataImport,8.6
AdminAPI-1.x,8.7
Ed-Fi-Compatibility-Libraries,7.7
vscode-metaed-ide,
antlr4,
AdminAPI-2.x,7.9
Ed-Fi-API-Standards,7.2
api.ed-fi.org,
Ed-Fi-TPDM-Community-Model,6.4
Ed-Fi-X-StudentEngagement,
EWS-Starter-Kits,
Ed-Fi-X-ODS-Docker,
Suite-3-Performance-Testing,7.4
Ed-Fi-X-OtisEd-iMart,
TPDM-Data-Ingestion-POC,
Dashboard-Replacement-POC,
EdFi-Project-Buzz,
CloudODS,
Ed-Fi-X-DescriptorTool,
LMS-Toolkit,5.9
Ed-Fi-Solution-Scripts,
Student360,
Tableau-Attendance-Dashboard,
Ed-Fi-MetabaseChronicAbsenteeismQuickStart,
Ed-Fi-Sample-Data-Time-Travel-Script,
DataChecker,
Ed-Fi-TPDM-Community-Artifacts,6.3
Chronic-Absentee-Reports-Tableau,
Family-Engagement-Portal,
Analytics-Middle-Tier-Contrib,
Ed-Fi-BinariesPowerShellInstaller,
Template-for-GitHub,
PowerShell-NuGet-Installer,
EPP-PowerBI-Report-Starter-Kit,
Ed-Fi-Clever-Integration,
Ed-Fi-Roster-Sample-Application,
Ed-Fi-Google-Classroom-Roster,
Ed-Fi-to-Generate,
